s.NameOnSampleWithAnon	PublicID	Metagenome_sample_accession	i.TwinID
NA21082	TUK46325392	SAMEA5814067	NA21082
NA18501	TUK10021251		NA18501
NA50491	TUK67049021	SAMEA5814304	NA50491
NA94651	TUK85621131	SAMEA5814786	NA94651
NA30191	TUK75450941	SAMEA5814155	NA30191
NA59871	TUK93990801		NA59871
NA95501	TUK17155211	SAMEA5814795	NA95501
NA7032	TUK23622162	SAMEA5813962	NA7032
NA10691	TUK55263831		NA10691
NA7042	TUK35985662	SAMEA5813964	NA7042
NA58562	TUK62295152		NA58562
NA10602	TUK14593892		NA10602
NA82302	TUK23142232		NA82302
NA80372	TUK62270522		NA80372
NA30571	TUK55117421		NA30571
NA51512	TUK74970042	SAMEA5814345	NA51512
NA60132	TUK35011692	SAMEA5814557	NA60132
NA9932	TUK56888502		NA9932
NA57472	TUK91403012		NA57472
NA68241	TUK89005991		NA68241
NA50652	TUK23077532	SAMEA5814310	NA50652
NA382	TUK71731452	SAMEA5813861	NA382
NA52792	TUK49735332		NA52792
NA81032	TUK63619932	SAMEA5814648	NA81032
NA52701	TUK61072761	SAMEA5814405	NA52701
NA1172	TUK65827452	SAMEA5813883	NA1172
NA51601	TUK75252711	SAMEA5814351	NA51601
NA30721	TUK47770861	SAMEA5814180	NA30721
NA71502	TUK42255002		NA71502
NA54071	TUK86356651		NA54071
NA59092	TUK88126172		NA59092
NA81971	TUK86622371		NA81971
NA50862	TUK47406932		NA50862
NA7041	TUK35985661	SAMEA5813963	NA7041
NA55751	TUK77876901	SAMEA5814475	NA55751
NA96541	TUK40187901	SAMEA5814814	NA96541
NA95502	TUK17155212	SAMEA5814796	NA95502
NA24082	TUK43411312	SAMEA5814131	NA24082
NA94571	TUK96569461		NA94571
NA81972	TUK86622372		NA81972
NA53432	TUK92850232		NA53432
NA50651	TUK23077531		NA50651
NA55231	TUK53925201		NA55231
NA30722	TUK47770862	SAMEA5814181	NA30722
NA53691	TUK40603561		NA53691
NA33142	TUK16848492	SAMEA5814237	NA33142
NA52101	TUK17709141	SAMEA5814374	NA52101
NA461	TUK78183711		NA461
NA24002	TUK28948032		NA24002
NA51332	TUK92572142	SAMEA5814337	NA51332
NA71501	TUK42255001		NA71501
NA59081	TUK78809641		NA59081
NA56061	TUK56882911		NA56061
NA32031	TUK81225111	SAMEA5814191	NA32031
NA93961	TUK63028451	SAMEA5814757	NA93961
NA59111	TUK66589951		NA59111
NA9931	TUK56888501		NA9931
NA51331	TUK92572141	SAMEA5814336	NA51331
NA52452	TUK71247822	SAMEA5814390	NA52452
NA59271	TUK30754101	SAMEA5814532	NA59271
NA64731	TUK45616301		NA64731
NA60182	TUK22675102	SAMEA5814561	NA60182
NA60511	TUK17992221	SAMEA5814572	NA60511
NA3242	TUK53857332	SAMEA5813920	NA3242
NA1572	TUK97258722	SAMEA5813893	NA1572
NA32331	TUK32962201	SAMEA5814204	NA32331
NA51732	TUK84924082	SAMEA5814358	NA51732
NA96891	TUK96253421		NA96891
NA30142	TUK71867872		NA30142
NA20361	TUK60607211	SAMEA5814060	NA20361
NA81092	TUK87764672	SAMEA5814650	NA81092
NA57732	TUK69752742		NA57732
NA21501	TUK34064451		NA21501
NA52072	TUK18104542	SAMEA5814369	NA52072
NA1171	TUK65827451		NA1171
NA52172	TUK61386682		NA52172
NA52102	TUK17709142		NA52102
NA18502	TUK10021252		NA18502
NA80971	TUK93875851		NA80971
NA54552	TUK72496002	SAMEA5814457	NA54552
NA99202	TUK98998522		NA99202
NA60462	TUK71356302	SAMEA5814570	NA60462
NA11011	TUK31871491	SAMEA5813986	NA11011
NA14862	TUK61446412	SAMEA5814004	NA14862
NA55471	TUK34079311		NA55471
NA24092	TUK96919022		NA24092
NA30602	TUK28791822		NA30602
NA9681	TUK19508251		NA9681
NA71382	TUK80438262		NA71382
NA94531	TUK25436521	SAMEA5814782	NA94531
NA33761	TUK12183881	SAMEA5814258	NA33761
NA53001	TUK20236461	SAMEA5814414	NA53001
NA50901	TUK52859951	SAMEA5814322	NA50901
NA53822	TUK59429042	SAMEA5814437	NA53822
NA94532	TUK25436522	SAMEA5814783	NA94532
NA55472	TUK34079312		NA55472
NA58992	TUK49060372	SAMEA5814519	NA58992
NA75482	TUK29135842		NA75482
NA59381	TUK71137231		NA59381
NA59332	TUK13809272		NA59332
NA1892	TUK25125292		NA1892
NA58961	TUK78844781	SAMEA5814517	NA58961
NA4231	TUK40645661	SAMEA5813936	NA4231
NA4482	TUK68868872		NA4482
NA24471	TUK10547991		NA24471
NA94572	TUK96569462	SAMEA5814784	NA94572
NA1831	TUK71298731	SAMEA5813899	NA1831
NA95311	TUK46767721		NA95311
NA4481	TUK68868871		NA4481
NA59492	TUK90064642	SAMEA5814544	NA59492
NA30221	TUK92628201	SAMEA5814161	NA30221
NA96922	TUK77238212		NA96922
NA53861	TUK54871321	SAMEA5814438	NA53861
NA90312	TUK16074162		NA90312
NA57681	TUK54476961	SAMEA5814493	NA57681
NA90311	TUK16074161		NA90311
NA53042	TUK13383332		NA53042
NA92012	TUK26259072	SAMEA5814732	NA92012
NA92291	TUK61621911	SAMEA5814739	NA92291
NA33671	TUK50603191	SAMEA5814256	NA33671
NA93962	TUK63028452	SAMEA5814758	NA93962
NA54221	TUK25406921		NA54221
NA26941	TUK55769221	SAMEA5814147	NA26941
NA24051	TUK39769531	SAMEA5814129	NA24051
NA51872	TUK65170022	SAMEA5814361	NA51872
NA32831	TUK44584511	SAMEA5814218	NA32831
NA50292	TUK49539702	SAMEA5814300	NA50292
NA1161	TUK28870901		NA1161
NA92011	TUK26259071		NA92011
NA33672	TUK50603192	SAMEA5814257	NA33672
NA51871	TUK65170021		NA51871
NA92002	TUK86377222	SAMEA5814731	NA92002
NA57682	TUK54476962	SAMEA5814494	NA57682
NA50291	TUK49539701	SAMEA5814299	NA50291
NA30051	TUK12008261	SAMEA5814151	NA30051
NA30341	TUK45605081	SAMEA5814163	NA30341
NA4422	TUK68445122	SAMEA5813938	NA4422
NA33251	TUK76868061	SAMEA5814240	NA33251
NA26942	TUK55769222	SAMEA5814148	NA26942
NA59491	TUK90064641	SAMEA5814543	NA59491
NA32152	TUK19492912	SAMEA5814200	NA32152
NA32332	TUK32962202	SAMEA5814205	NA32332
NA58481	TUK78622761		NA58481
NA95312	TUK46767722	SAMEA5814791	NA95312
NA73652	TUK71092072		NA73652
NA53002	TUK20236462		NA53002
NA24052	TUK39769532	SAMEA5814130	NA24052
NA32151	TUK19492911		NA32151
NA4232	TUK40645662	SAMEA5813937	NA4232
NA50861	TUK47406931	SAMEA5814321	NA50861
NA95672	TUK98004132	SAMEA5814802	NA95672
NA66792	TUK15279442		NA66792
NA53821	TUK59429041	SAMEA5814436	NA53821
NA32362	TUK69041912		NA32362
NA54811	TUK26290951		NA54811
NA19731	TUK12365421		NA19731
NA53431	TUK92850231		NA53431
NA3401	TUK76055371	SAMEA5813921	NA3401
NA52171	TUK61386681		NA52171
NA59082	TUK78809642	SAMEA5814526	NA59082
NA90451	TUK49186501		NA90451
NA22741	TUK72537261	SAMEA5814101	NA22741
NA15142	TUK17278812		NA15142
NA33141	TUK16848491	SAMEA5814236	NA33141
NA22262	TUK14867562	SAMEA5814094	NA22262
NA19622	TUK22531362		NA19622
NA52342	TUK61804372	SAMEA5814386	NA52342
NA81031	TUK63619931	SAMEA5814647	NA81031
NA55232	TUK53925202	SAMEA5814472	NA55232
NA2491	TUK66523201		NA2491
NA311	TUK88579301		NA311
NA19732	TUK12365422		NA19732
NA55892	TUK13894042		NA55892
NA7252	TUK84351662		NA7252
NA10601	TUK14593891		NA10601
NA34062	TUK60640162	SAMEA5814271	NA34062
NA32301	TUK68374861		NA32301
NA54901	TUK66939981	SAMEA5814462	NA54901
NA732	TUK57875522		NA732
NA90452	TUK49186502	SAMEA5814694	NA90452
NA26912	TUK70598912		NA26912
NA81502	TUK85012762		NA81502
NA202	TUK44743842	SAMEA5813851	NA202
NA59472	TUK65538552	SAMEA5814542	NA59472
NA33272	TUK69086492	SAMEA5814244	NA33272
NA60461	TUK71356301	SAMEA5814569	NA60461
NA10692	TUK55263832		NA10692
NA14441	TUK77199721		NA14441
NA22861	TUK97857071	SAMEA5814103	NA22861
NA57471	TUK91403011		NA57471
NA66142	TUK35321862	SAMEA5814609	NA66142
NA51272	TUK77814752		NA51272
NA9722	TUK39268752		NA9722
NA60131	TUK35011691	SAMEA5814556	NA60131
NA51541	TUK47533221	SAMEA5814346	NA51541
NA58561	TUK62295151		NA58561
NA51602	TUK75252712	SAMEA5814352	NA51602
NA68242	TUK89005992	SAMEA5814632	NA68242
NA30192	TUK75450942	SAMEA5814156	NA30192
NA86382	TUK32645022		NA86382
NA3241	TUK53857331	SAMEA5813919	NA3241
NA59021	TUK15420951	SAMEA5814522	NA59021
NA77731	TUK21746891		NA77731
NA32032	TUK81225112		NA32032
NA53352	TUK24414372	SAMEA5814425	NA53352
NA4682	TUK93207972		NA4682
NA67312	TUK17249032		NA67312
NA1571	TUK97258721	SAMEA5813892	NA1571
NA77732	TUK21746892		NA77732
NA30792	TUK23224162	SAMEA5814183	NA30792
NA81202	TUK77303572		NA81202
NA11711	TUK66634901	SAMEA5813990	NA11711
NA30572	TUK55117422	SAMEA5814168	NA30572
NA2561	TUK78104061	SAMEA5813907	NA2561
NA5841	TUK84452381	SAMEA5813949	NA5841
NA33052	TUK95023302	SAMEA5814231	NA33052
NA55581	TUK98465331		NA55581
NA60591	TUK40463571	SAMEA5814579	NA60591
NA52681	TUK43084951	SAMEA5814403	NA52681
NA261	TUK20708971	SAMEA5813855	NA261
NA30011	TUK24372611		NA30011
NA66762	TUK87668502	SAMEA5814615	NA66762
NA64322	TUK27304502	SAMEA5814589	NA64322
NA21281	TUK54734451	SAMEA5814073	NA21281
NA4861	TUK84011891	SAMEA5813944	NA4861
NA10641	TUK60035571	SAMEA5813984	NA10641
NA21442	TUK55940672	SAMEA5814081	NA21442
NA50971	TUK37511591	SAMEA5814328	NA50971
NA66031	TUK41249461	SAMEA5814605	NA66031
NA61	TUK62375241	SAMEA5813845	NA61
NA74932	TUK86864212		NA74932
NA30201	TUK24862411	SAMEA5814157	NA30201
NA2622	TUK29802592		NA2622
NA50802	TUK99230182		NA50802
NA3092	TUK46437352	SAMEA5813916	NA3092
NA60562	TUK76137552		NA60562
NA55902	TUK12736172		NA55902
NA4462	TUK71712032		NA4462
NA23382	TUK35365212	SAMEA5814116	NA23382
NA30522	TUK20186872		NA30522
NA88362	TUK99365632	SAMEA5814686	NA88362
NA54551	TUK72496001	SAMEA5814456	NA54551
NA2632	TUK47305002	SAMEA5813910	NA2632
NA1372	TUK94235912	SAMEA5813887	NA1372
NA26901	TUK15770921		NA26901
NA50801	TUK99230181	SAMEA5814317	NA50801
NA58182	TUK58805002		NA58182
NA462	TUK78183712		NA462
NA59151	TUK79048091	SAMEA5814528	NA59151
NA14861	TUK61446411		NA14861
NA52902	TUK18470382		NA52902
NA55891	TUK13894041		NA55891
NA81501	TUK85012761	SAMEA5814654	NA81501
NA58181	TUK58805001		NA58181
NA60531	TUK68920031	SAMEA5814574	NA60531
NA52142	TUK43593802		NA52142
NA4631	TUK19922741		NA4631
NA33192	TUK30714372	SAMEA5814239	NA33192
NA81091	TUK87764671	SAMEA5814649	NA81091
NA26911	TUK70598911		NA26911
NA15141	TUK17278811	SAMEA5814006	NA15141
NA53401	TUK22303251		NA53401
NA16261	TUK56294461		NA16261
NA77461	TUK26746201		NA77461
NA30801	TUK28682801		NA30801
NA51401	TUK84459021	SAMEA5814338	NA51401
NA23992	TUK71415762	SAMEA5814127	NA23992
NA33051	TUK95023301	SAMEA5814230	NA33051
NA51442	TUK19966012	SAMEA5814341	NA51442
NA30521	TUK20186871		NA30521
NA20851	TUK93130831		NA20851
NA53292	TUK63648892		NA53292
NA59112	TUK66589952		NA59112
NA88361	TUK99365631	SAMEA5814685	NA88361
NA52772	TUK48964202		NA52772
NA60532	TUK68920032	SAMEA5814575	NA60532
NA1791	TUK35363501	SAMEA5813897	NA1791
NA91182	TUK54938822		NA91182
NA2562	TUK78104062	SAMEA5813908	NA2562
NA54072	TUK86356652	SAMEA5814448	NA54072
NA57731	TUK69752741	SAMEA5814495	NA57731
NA2621	TUK29802591	SAMEA5813909	NA2621
NA55582	TUK98465332		NA55582
NA19621	TUK22531361	SAMEA5814053	NA19621
NA54812	TUK26290952		NA54812
NA412	TUK58426752	SAMEA5813863	NA412
NA51542	TUK47533222	SAMEA5814347	NA51542
NA24091	TUK96919021		NA24091
NA22862	TUK97857072		NA22862
NA94452	TUK11436462	SAMEA5814778	NA94452
NA77212	TUK34825962		NA77212
NA52091	TUK69753671	SAMEA5814372	NA52091
NA53871	TUK81438481	SAMEA5814440	NA53871
NA81712	TUK80625912	SAMEA5814657	NA81712
NA11012	TUK31871492	SAMEA5813987	NA11012
NA54902	TUK66939982	SAMEA5814463	NA54902
NA1592	TUK44981152		NA1592
NA411	TUK58426751	SAMEA5813862	NA411
NA7251	TUK84351661		NA7251
NA3402	TUK76055372	SAMEA5813922	NA3402
NA20751	TUK32378151	SAMEA5814061	NA20751
NA91301	TUK51076031	SAMEA5814709	NA91301
NA54212	TUK96316332		NA54212
NA94451	TUK11436461		NA94451
NA81711	TUK80625911	SAMEA5814656	NA81711
NA30311	TUK81317531		NA30311
NA50492	TUK67049022	SAMEA5814305	NA50492
NA2651	TUK74296351		NA2651
NA66761	TUK87668501	SAMEA5814614	NA66761
NA2891	TUK23043341	SAMEA5813913	NA2891
NA52602	TUK47795912		NA52602
NA1192	TUK91132292		NA1192
NA53622	TUK52941482		NA53622
NA33191	TUK30714371	SAMEA5814238	NA33191
NA1382	TUK70830802	SAMEA5813889	NA1382
NA52791	TUK49735331		NA52791
NA59471	TUK65538551	SAMEA5814541	NA59471
NA52601	TUK47795911	SAMEA5814402	NA52601
NA59422	TUK61669472		NA59422
NA95451	TUK33281421		NA95451
NA64321	TUK27304501	SAMEA5814588	NA64321
NA32302	TUK68374862	SAMEA5814202	NA32302
NA90392	TUK84495332		NA90392
NA53621	TUK52941481	SAMEA5814434	NA53621
NA65512	TUK36629342		NA65512
NA1381	TUK70830801	SAMEA5813888	NA1381
NA2652	TUK74296352		NA2652
NA95612	TUK27982412	SAMEA5814798	NA95612
NA23701	TUK57849491		NA23701
NA30881	TUK16753881	SAMEA5814188	NA30881
NA30202	TUK24862412	SAMEA5814158	NA30202
NA59832	TUK28037122		NA59832
NA99361	TUK33632061	SAMEA5814842	NA99361
NA20321	TUK57801341		NA20321
NA52131	TUK22352451	SAMEA5814375	NA52131
NA99601	TUK52646111	SAMEA5814846	NA99601
NA55302	TUK83477332		NA55302
NA98002	TUK10871832	SAMEA5814829	NA98002
NA53402	TUK22303252	SAMEA5814426	NA53402
NA90461	TUK11967281	SAMEA5814695	NA90461
NA32451	TUK27034521	SAMEA5814209	NA32451
NA99611	TUK87900591	SAMEA5814848	NA99611
NA30012	TUK24372612		NA30012
NA99201	TUK98998521	SAMEA5814839	NA99201
NA30312	TUK81317532	SAMEA5814162	NA30312
NA52392	TUK77692182		NA52392
NA7031	TUK23622161	SAMEA5813961	NA7031
NA33982	TUK81230272	SAMEA5814268	NA33982
NA23702	TUK57849492		NA23702
NA95611	TUK27982411	SAMEA5814797	NA95611
NA59152	TUK79048092	SAMEA5814529	NA59152
NA66982	TUK41735782	SAMEA5814620	NA66982
NA96892	TUK96253422		NA96892
NA52001	TUK64948941		NA52001
NA94511	TUK79367231		NA94511
NA91321	TUK76992251	SAMEA5814710	NA91321
NA55752	TUK77876902		NA55752
NA34221	TUK63249651	SAMEA5814274	NA34221
NA52002	TUK64948942		NA52002
NA66981	TUK41735781	SAMEA5814619	NA66981
NA52391	TUK77692181		NA52391
NA92262	TUK28746702	SAMEA5814737	NA92262
NA94512	TUK79367232	SAMEA5814781	NA94512
NA33981	TUK81230271	SAMEA5814267	NA33981
NA90391	TUK84495331		NA90391
NA30882	TUK16753882	SAMEA5814189	NA30882
NA971	TUK82252901		NA971
NA81201	TUK77303571		NA81201
NA33271	TUK69086491		NA33271
NA2892	TUK23043342	SAMEA5813914	NA2892
NA52132	TUK22352452	SAMEA5814376	NA52132
NA77211	TUK34825961		NA77211
NA1191	TUK91132291		NA1191
NA972	TUK82252902	SAMEA5813878	NA972
NA201	TUK44743841	SAMEA5813850	NA201
NA51511	TUK74970041	SAMEA5814344	NA51511
NA30141	TUK71867871		NA30141
NA91322	TUK76992252		NA91322
NA32452	TUK27034522		NA32452
NA59831	TUK28037121	SAMEA5814549	NA59831
NA76962	TUK36875622		NA76962
NA58041	TUK82166881		NA58041
NA34061	TUK60640161		NA34061
NA51581	TUK58237481	SAMEA5814348	NA51581
NA59421	TUK61669471		NA59421
NA51271	TUK77814751	SAMEA5814335	NA51271
NA76961	TUK36875621		NA76961
NA92271	TUK48364341		NA92271
NA9311	TUK96915361		NA9311
NA65902	TUK56611662		NA65902
NA53291	TUK63648891		NA53291
NA52161	TUK44874841	SAMEA5814377	NA52161
NA1792	TUK35363502	SAMEA5813898	NA1792
NA381	TUK71731451		NA381
NA9312	TUK96915362		NA9312
NA8022	TUK52975722		NA8022
NA4142	TUK34872512		NA4142
NA58822	TUK86967222		NA58822
NA20561	TUK57182011		NA20561
NA60561	TUK76137551		NA60561
NA21502	TUK34064452		NA21502
NA52071	TUK18104541	SAMEA5814368	NA52071
NA20552	TUK93045672		NA20552
NA9591	TUK17688561	SAMEA5813978	NA9591
NA94652	TUK85621132		NA94652
NA96732	TUK82418152	SAMEA5814819	NA96732
NA2511	TUK45999391		NA2511
NA2492	TUK66523202		NA2492
NA4141	TUK34872511		NA4141
NA57351	TUK30360131	SAMEA5814483	NA57351
NA57352	TUK30360132	SAMEA5814484	NA57352
NA22991	TUK45770681	SAMEA5814108	NA22991
NA99612	TUK87900592	SAMEA5814849	NA99612
NA92272	TUK48364342	SAMEA5814738	NA92272
NA11712	TUK66634902	SAMEA5813991	NA11712
NA52281	TUK30083751	SAMEA5814384	NA52281
NA9592	TUK17688562		NA9592
NA372	TUK22072992		NA372
NA30031	TUK75828641		NA30031
NA99602	TUK52646112	SAMEA5814847	NA99602
NA22261	TUK14867561	SAMEA5814093	NA22261
NA782	TUK50174792	SAMEA5813873	NA782
NA60431	TUK83831951	SAMEA5814567	NA60431
NA99291	TUK86079091		NA99291
NA21282	TUK54734452	SAMEA5814074	NA21282
NA371	TUK22072991	SAMEA5813860	NA371
NA2512	TUK45999392		NA2512
NA53351	TUK24414371	SAMEA5814424	NA53351
NA66141	TUK35321861	SAMEA5814608	NA66141
NA51142	TUK12238832		NA51142
NA32261	TUK80671501	SAMEA5814201	NA32261
NA30212	TUK54643112	SAMEA5814160	NA30212
NA20551	TUK93045671		NA20551
NA54171	TUK18794261		NA54171
NA20311	TUK75879271		NA20311
NA20122	TUK38187042		NA20122
NA53872	TUK81438482		NA53872
NA60592	TUK40463572		NA60592
NA30601	TUK28791821	SAMEA5814169	NA30601
NA21431	TUK11874181		NA21431
NA15822	TUK85147512	SAMEA5814013	NA15822
NA21432	TUK11874182	SAMEA5814079	NA21432
NA51141	TUK12238831	SAMEA5814330	NA51141
NA1972	TUK77835132		NA1972
NA20121	TUK38187041		NA20121
NA32062	TUK51038872	SAMEA5814194	NA32062
NA80371	TUK62270521		NA80371
NA21441	TUK55940671	SAMEA5814080	NA21441
NA50972	TUK37511592		NA50972
NA5822	TUK31250102		NA5822
NA70991	TUK36580881		NA70991
NA96731	TUK82418151	SAMEA5814818	NA96731
NA32061	TUK51038871	SAMEA5814193	NA32061
NA52282	TUK30083752	SAMEA5814385	NA52282
NA70822	TUK62352082		NA70822
NA58821	TUK86967221		NA58821
NA99292	TUK86079092	SAMEA5814840	NA99292
NA72421	TUK42265151		NA72421
NA52451	TUK71247821	SAMEA5814389	NA52451
NA52771	TUK48964201		NA52771
NA52901	TUK18470381		NA52901
NA30211	TUK54643111	SAMEA5814159	NA30211
NA96982	TUK46532132	SAMEA5814821	NA96982
NA52162	TUK44874842		NA52162
NA72422	TUK42265152		NA72422
NA65511	TUK36629341	SAMEA5814599	NA65511
NA59091	TUK88126171	SAMEA5814527	NA59091
NA5821	TUK31250101		NA5821
NA20562	TUK57182012		NA20562
NA93951	TUK63520931	SAMEA5814755	NA93951
NA9721	TUK39268751		NA9721
NA51731	TUK84924081		NA51731
NA55901	TUK12736171		NA55901
NA54051	TUK10932941	SAMEA5814445	NA54051
NA30032	TUK75828642		NA30032
NA55212	TUK79373862	SAMEA5814471	NA55212
NA8021	TUK52975721	SAMEA5813968	NA8021
NA58811	TUK20734981		NA58811
NA71691	TUK38392731		NA71691
NA9831	TUK81519851	SAMEA5813981	NA9831
NA59561	TUK91687841		NA59561
NA53692	TUK40603562	SAMEA5814435	NA53692
NA431	TUK39138601		NA431
NA1651	TUK57608871		NA1651
NA312	TUK88579302	SAMEA5813857	NA312
NA71722	TUK58171072		NA71722
NA93952	TUK63520932	SAMEA5814756	NA93952
NA34442	TUK15500732	SAMEA5814284	NA34442
NA65901	TUK56611661		NA65901
NA1241	TUK81425001		NA1241
NA60812	TUK38788772		NA60812
NA79622	TUK10919002		NA79622
NA54422	TUK40859962	SAMEA5814454	NA54422
NA52722	TUK99691382	SAMEA5814408	NA52722
NA59872	TUK93990802		NA59872
NA1242	TUK81425002	SAMEA5813884	NA1242
NA52202	TUK14940172	SAMEA5814379	NA52202
NA62	TUK62375242	SAMEA5813846	NA62
NA71721	TUK58171071		NA71721
NA52141	TUK43593801		NA52141
NA51622	TUK32983122		NA51622
NA432	TUK39138602		NA432
NA10321	TUK54380151		NA10321
NA50791	TUK90011181	SAMEA5814316	NA50791
NA54421	TUK40859961	SAMEA5814453	NA54421
NA52092	TUK69753672	SAMEA5814373	NA52092
NA52911	TUK92725671	SAMEA5814412	NA52911
NA51621	TUK32983121		NA51621
NA52212	TUK15809722	SAMEA5814381	NA52212
NA24081	TUK43411311		NA24081
NA50661	TUK35329361	SAMEA5814311	NA50661
NA71692	TUK38392732		NA71692
NA59032	TUK99222852		NA59032
NA64332	TUK92228382		NA64332
NA97051	TUK43037481	SAMEA5814824	NA97051
NA15821	TUK85147511	SAMEA5814012	NA15821
NA1652	TUK57608872		NA1652
NA96542	TUK40187902	SAMEA5814815	NA96542
NA58812	TUK20734982		NA58812
NA50792	TUK90011182		NA50792
NA4562	TUK79482612		NA4562
NA52721	TUK99691381	SAMEA5814407	NA52721
NA30561	TUK59076071		NA30561
NA52682	TUK43084952	SAMEA5814404	NA52682
NA53311	TUK24012111		NA53311
NA66032	TUK41249462		NA66032
NA59562	TUK91687842	SAMEA5814545	NA59562
NA52912	TUK92725672	SAMEA5814413	NA52912
NA14661	TUK88287961		NA14661
NA52211	TUK15809721	SAMEA5814380	NA52211
NA60432	TUK83831952	SAMEA5814568	NA60432
NA79621	TUK10919001		NA79621
NA9731	TUK97263281		NA9731
NA30562	TUK59076072		NA30562
NA55211	TUK79373861	SAMEA5814470	NA55211
NA59272	TUK30754102	SAMEA5814533	NA59272
NA731	TUK57875521		NA731
NA16262	TUK56294462	SAMEA5814018	NA16262
NA56062	TUK56882912		NA56062
NA53811	TUK14114841		NA53811
NA4862	TUK84011892		NA4862
NA52201	TUK14940171	SAMEA5814378	NA52201
NA57501	TUK91011391	SAMEA5814489	NA57501
NA20852	TUK93130832		NA20852
NA8431	TUK87698891		NA8431
NA71381	TUK80438261		NA71381
NA21191	TUK21790861		NA21191
NA20892	TUK61181862		NA20892
NA30342	TUK45605082		NA30342
NA50902	TUK52859952	SAMEA5814323	NA50902
NA34652	TUK78636292		NA34652
NA2631	TUK47305001		NA2631
NA54522	TUK34319312		NA54522
NA57431	TUK58947721	SAMEA5814485	NA57431
NA20891	TUK61181861	SAMEA5814065	NA20891
NA92292	TUK61621912	SAMEA5814740	NA92292
NA59331	TUK13809271		NA59331
NA53611	TUK97307481	SAMEA5814432	NA53611
NA66651	TUK52272491		NA66651
NA53812	TUK14114842		NA53812
NA4172	TUK50677022		NA4172
NA64651	TUK17150651		NA64651
NA82301	TUK23142231		NA82301
NA57671	TUK92753351	SAMEA5814491	NA57671
NA64732	TUK45616302	SAMEA5814594	NA64732
NA64652	TUK17150652		NA64652
NA8572	TUK60742612	SAMEA5813970	NA8572
NA58952	TUK48882522		NA58952
NA57102	TUK80787172		NA57102
NA21291	TUK32786831	SAMEA5814075	NA21291
NA21292	TUK32786832		NA21292
NA77462	TUK26746202		NA77462
NA66891	TUK13308091	SAMEA5814617	NA66891
NA81561	TUK28029631		NA81561
NA97052	TUK43037482	SAMEA5814825	NA97052
NA2011	TUK15256291	SAMEA5813900	NA2011
NA8571	TUK60742611	SAMEA5813969	NA8571
NA58951	TUK48882521		NA58951
NA8432	TUK87698892		NA8432
NA30802	TUK28682802		NA30802
NA21192	TUK21790862	SAMEA5814070	NA21192
NA30411	TUK14807501	SAMEA5814164	NA30411
NA59382	TUK71137232		NA59382
NA33381	TUK68658061		NA33381
NA66791	TUK15279441	SAMEA5814616	NA66791
NA4171	TUK50677021		NA4171
NA4461	TUK71712031	SAMEA5813940	NA4461
NA57432	TUK58947722	SAMEA5814486	NA57432
NA32211	TUK89375921		NA32211
NA98812	TUK97163662		NA98812
NA93942	TUK90371812	SAMEA5814754	NA93942
NA22122	TUK91950182	SAMEA5814092	NA22122
NA74931	TUK86864211		NA74931
NA30412	TUK14807502	SAMEA5814165	NA30412
NA9682	TUK19508252		NA9682
NA55912	TUK43510362	SAMEA5814476	NA55912
NA91302	TUK51076032		NA91302
NA4632	TUK19922742		NA4632
NA66892	TUK13308092	SAMEA5814618	NA66892
NA4421	TUK68445121		NA4421
NA33382	TUK68658062		NA33382
NA57111	TUK89789501	SAMEA5814481	NA57111
NA50961	TUK93205211	SAMEA5814326	NA50961
NA52982	TUK39348432		NA52982
NA92102	TUK95451672	SAMEA5814734	NA92102
NA26902	TUK15770922		NA26902
NA50932	TUK25066752	SAMEA5814325	NA50932
NA30162	TUK93197632	SAMEA5814154	NA30162
NA562	TUK17935902	SAMEA5813867	NA562
NA50962	TUK93205212	SAMEA5814327	NA50962
NA9711	TUK67758191		NA9711
NA66101	TUK18289461	SAMEA5814606	NA66101
NA52471	TUK85362981	SAMEA5814391	NA52471
NA34491	TUK98552631	SAMEA5814286	NA34491
NA17442	TUK33915542	SAMEA5814042	NA17442
NA94192	TUK77557412	SAMEA5814768	NA94192
NA33432	TUK92038042	SAMEA5814248	NA33432
NA14742	TUK61554932	SAMEA5814001	NA14742
NA58471	TUK18430831		NA58471
NA59371	TUK35630001	SAMEA5814537	NA59371
NA66751	TUK34695301		NA66751
NA52731	TUK32412181		NA52731
NA7412	TUK84355682		NA7412
NA58691	TUK92768441		NA58691
NA51671	TUK66056871	SAMEA5814353	NA51671
NA32981	TUK23625331	SAMEA5814228	NA32981
NA54631	TUK27154151	SAMEA5814459	NA54631
NA57221	TUK73154671		NA57221
NA99492	TUK79091062		NA99492
NA34361	TUK13399951	SAMEA5814279	NA34361
NA92602	TUK36519652	SAMEA5814750	NA92602
NA58472	TUK18430832	SAMEA5814508	NA58472
NA14891	TUK44373451		NA14891
NA92601	TUK36519651	SAMEA5814749	NA92601
NA92452	TUK89241082		NA92452
NA6652	TUK25747542	SAMEA5813956	NA6652
NA34552	TUK15096932	SAMEA5814290	NA34552
NA54632	TUK27154152		NA54632
NA60341	TUK61224251	SAMEA5814565	NA60341
NA54062	TUK48300742	SAMEA5814447	NA54062
NA32982	TUK23625332	SAMEA5814229	NA32982
NA86321	TUK20832911		NA86321
NA91371	TUK97487531		NA91371
NA50572	TUK28017312	SAMEA5814309	NA50572
NA60342	TUK61224252	SAMEA5814566	NA60342
NA30241	TUK38815391		NA30241
