s.NameOnSampleWithAnon	PublicID	Metagenome_sample_accession	i.TwinID
A50434	TUK21790862	SAMEA5814070	NA21192
A45169	TUK41249461	SAMEA5814605	NA66031
A76511	TUK41249462		NA66032
A94659	TUK29110841		A7641
A13104	TUK29110842		A7642
A79021	TUK59220262		A3932
A16357	TUK30643931	SAMEA5814024	A5081
A25001	TUK40100012		A7662
A49423	TUK14032131	SAMEA5814106	A5441
A22750	TUK14032132	SAMEA5814107	A5442
A46380	TUK35011691	SAMEA5814556	NA60131
A39318	TUK35011692	SAMEA5814557	NA60132
A28861	TUK48308761		A5721
A45748	TUK41755001		A7571
A43601	TUK51127541		A7591
A19397	TUK51127542		A7592
A17863	TUK94591851	SAMEA5814792	A8751
A77230	TUK94591852	SAMEA5814793	A8752
A19660	TUK95023301	SAMEA5814230	NA33051
A21056	TUK95023302	SAMEA5814231	NA33052
A54137	TUK97239121		A7771
A96485	TUK97239122		A7772
A41711	TUK30643932	SAMEA5814025	A5082
A63624	TUK63028451	SAMEA5814757	NA93961
A11328	TUK63028452	SAMEA5814758	NA93962
A79346	TUK28037121	SAMEA5814549	NA59831
A62209	TUK28037122		NA59832
A30354	TUK87944761		A7761
A96477	TUK67729512		A13422
A36697	TUK10953642		A13412
A14440	TUK89785251		A12871
A13335	TUK68379942	SAMEA5814177	NA30692
A18236	TUK78636291		NA34651
A66321	TUK35633902	SAMEA5814834	A14232
A78748	TUK68689461		A10491
A25760	TUK30931262		A13262
A75091	TUK57182012		NA20562
A80900	TUK47821311		A13211
A11393	TUK87944762		A13242
A94144	TUK30709261		A9851
A10408	TUK69049352		A10002
A63929	TUK89785252		A12872
A56491	TUK78209681	SAMEA5814779	A13981
A70254	TUK78636292		NA34652
A11640	TUK92393621		A13101
A62642	TUK65262471	SAMEA5814482	A11361
A58306	TUK67045891		A9641
A20868	TUK30709262		A9852
A13375	TUK78209682	SAMEA5814780	A13982
A24915	TUK17709141	SAMEA5814374	NA52101
A17323	TUK83290761		A12281
A92261	TUK92393622		A13102
A33835	TUK67045892		A9642
A56596	TUK45892301		A13311
A40091	TUK39417451		A11721
A93200	TUK82913271	SAMEA5814387	NA52351
A59698	TUK99335672	SAMEA5814693	A13722
A60601	TUK11931961		A13011
A59538	TUK38041251		A13161
A37382	TUK27672022	SAMEA5814844	A14292
A19953	TUK60640161		NA34061
A59550	TUK70598911		NA26911
A27200	TUK82166881		NA58041
A46805	TUK61446411		NA14861
A29869	TUK45892302		A13312
A19233	TUK39417452		A11722
A78964	TUK82913272		NA52352
A75476	TUK38041252		A13162
A74140	TUK36554721		A12111
A53806	TUK60640162	SAMEA5814271	NA34062
A19317	TUK70598912		NA26912
A53445	TUK58805001		NA58181
A42453	TUK61446412	SAMEA5814004	NA14862
A13721	TUK21896871	SAMEA5814765	A13931
A85730	TUK68249631		A13281
A77060	TUK43645092		A10472
A58775	TUK87764672	SAMEA5814650	NA81092
A92623	TUK48450691		A13091
A12004	TUK56046321		A11391
A50715	TUK36554722		A12112
A50637	TUK28326411		A9161
A34014	TUK67145591		A9801
A45584	TUK12187601		A13041
A45672	TUK55577221		A11271
A10336	TUK21896872	SAMEA5814766	A13932
A12562	TUK68249632		A13282
A42195	TUK14689051		A13131
A93708	TUK40911721	SAMEA5813999	NA14671
A77150	TUK93045671		NA20551
A70908	TUK48450692		A13092
A18504	TUK67145592		A9802
A80188	TUK12187602		A13042
A57134	TUK55577222		A11272
A53549	TUK10953641		A13411
A15837	TUK14689052		A13132
A81991	TUK93045672		NA20552
A83092	TUK68379941	SAMEA5814176	NA30691
A28198	TUK35633901	SAMEA5814833	A14231
A15154	TUK68689462		A10492
A50991	TUK30931261		A13261
A86209	TUK57182011		NA20561
A79951	TUK27151781		A10641
A48956	TUK67729511		A13421
A73644	TUK47455001	SAMEA5814178	A10591
A96218	TUK99427982		A12992
A27658	TUK92768441		NA58691
A11587	TUK20734982		NA58812
A90691	TUK60555332		A14082
A98768	TUK93917712	SAMEA5814051	A9912
A63268	TUK78744831		A10421
